samplename	Run       	layout
SRX2947726	SRR5746567	SE
SRX2947725	SRR5746562	SE
SRX2947725	SRR5746563	SE
SRX2947725	SRR5746564	SE
SRX2947724	SRR5746559	SE
SRX2947724	SRR5746560	SE
SRX2947724	SRR5746561	SE
SRX2947723	SRR5746556	SE
SRX2947723	SRR5746557	SE
SRX2947723	SRR5746558	SE
SRX2947722	SRR5746553	SE
SRX2947722	SRR5746554	SE
SRX2947721	SRR5746550	SE
SRX2947721	SRR5746551	SE
SRX2947721	SRR5746552	SE
SRX2947720	SRR5746547	SE
SRX2947720	SRR5746548	SE
SRX2947720	SRR5746549	SE
SRX2947719	SRR5746544	SE
SRX2947719	SRR5746545	SE
SRX2947719	SRR5746546	SE
SRX2947718	SRR5746541	SE
SRX2947718	SRR5746542	SE
SRX2947718	SRR5746543	SE
SRX2947717	SRR5746538	SE
SRX2947717	SRR5746539	SE
SRX2947717	SRR5746540	SE
SRX2947716	SRR5746535	SE
SRX2947716	SRR5746536	SE
SRX2947716	SRR5746537	SE
SRX2947715	SRR5746532	SE
SRX2947715	SRR5746533	SE
SRX2947715	SRR5746534	SE
SRX2947714	SRR5746529	SE
SRX2947714	SRR5746530	SE
SRX2947714	SRR5746531	SE
SRX2947713	SRR5746526	SE
SRX2947713	SRR5746527	SE
SRX2947713	SRR5746528	SE
SRX2947712	SRR5746523	SE
SRX2947712	SRR5746524	SE
SRX2947712	SRR5746525	SE
SRX2947711	SRR5746520	SE
SRX2947711	SRR5746521	SE
SRX2947711	SRR5746522	SE
SRX2947710	SRR5746517	SE
SRX2947710	SRR5746518	SE
SRX2947710	SRR5746519	SE
SRX863872 	SRR1784890	PE
SRX863871 	SRR1784889	PE
SRX863870 	SRR1784888	PE
SRX863869 	SRR1784887	PE
SRX2878290	SRR5639890	SE
SRX2878287	SRR5639887	SE
SRX2878250	SRR5639850	SE
SRX2878249	SRR5639849	SE
SRX2878248	SRR5639848	SE
SRX2878247	SRR5639847	SE
SRX2878246	SRR5639846	SE
SRX2878245	SRR5639845	SE
SRX2878040	SRR5639640	SE
SRX2878039	SRR5639639	SE
SRX2878038	SRR5639638	SE
SRX2878037	SRR5639637	SE
SRX2878036	SRR5639636	SE
